passengerId,longestRun
2068,32
1677,27
4827,27
8961,26
3173,26
5867,25
2857,25
760,25
8363,25
5096,25
6084,25
288,25
917,25
1240,24
5668,24
1343,24
2441,24
3367,24
613,23
211,23
9441,23
8411,23
366,23
3093,23
2717,23
3405,23
1673,23
1598,23
8353,23
2251,23
3590,23
1337,23
5332,23
4056,23
281,23
7643,23
392,22
5490,22
350,22
2939,22
1769,22
3180,22
258,22
2437,22
4034,22
6447,22
5423,22
739,22
391,22
9252,22
167,22
798,22
4611,22
3078,22
7162,22
1413,22
435,21
1651,21
6060,21
2185,21
4399,21
1464,21
3332,21
4249,21
3112,21
2926,21
398,21
5560,21
1982,21
4552,21
437,21
4632,21
2516,21
1581,21
848,21
9540,21
364,21
763,21
2254,21
4502,21
5416,21
5007,21
905,21
6777,21
7810,20
368,20
2467,20
4774,20
7662,20
4200,20
2975,20
157,20
603,20
139,20
2867,20
1818,20
3309,20
1029,20
7832,20
3937,20
2964,20
4483,20
9822,20
8590,20
2734,20
7327,20
721,20
5775,20
649,20
3589,20
3867,20
4496,20
5942,20
2378,20
7590,20
6372,20
2544,20
3802,20
662,20
859,20
8988,20
1617,20
5012,20
204,20
888,20
4031,20
3924,20
3883,20
3880,20
942,20
4335,20
4850,20
2504,20
3021,20
628,20
2969,20
1246,20
2511,20
833,19
1143,19
2776,19
2231,19
4092,19
1378,19
2212,19
1276,19
2323,19
6030,19
7718,19
2684,19
1208,19
360,19
855,19
7877,19
2886,19
4451,19
5303,19
6382,19
2155,19
6294,19
1822,19
6827,19
839,19
1994,19
1074,19
92,19
1739,19
64,19
1321,19
2910,19
1052,19
4816,19
843,19
993,19
1158,19
2702,19
1351,19
2759,19
2906,19
1272,19
6591,19
4210,19
5319,19
7209,19
1315,19
6857,19
10795,19
2262,19
3608,19
4329,19
2482,19
5922,19
6001,19
1715,19
4395,19
4670,19
4473,19
3278,19
3153,19
752,19
8149,19
3041,19
4316,19
1482,19
6036,19
975,19
1095,19
6805,19
3503,19
2325,19
5198,19
8358,19
755,19
932,19
878,19
2713,19
1025,18
4391,18
4364,18
2035,18
362,18
950,18
3436,18
4293,18
8326,18
860,18
5787,18
8007,18
274,18
8121,18
4016,18
6053,18
2681,18
2489,18
8234,18
4627,18
1250,18
1521,18
3119,18
8078,18
1800,18
5043,18
1858,18
5760,18
1641,18
3451,18
1057,18
7433,18
381,18
8552,18
1369,18
3875,18
5966,18
813,18
624,18
3024,18
5481,18
4359,18
7508,18
6548,18
5711,18
459,18
3343,18
5769,18
3600,18
5731,18
9620,18
4404,18
4379,18
9410,18
4217,18
4082,18
8642,18
3177,18
2201,18
1637,18
382,18
712,18
8837,18
334,18
611,18
2518,18
525,18
638,18
3665,18
5491,18
7820,18
8045,18
135,18
5977,18
8964,18
5643,18
4903,18
5459,18
311,18
8167,18
3837,18
5380,18
4121,18
4373,18
4178,18
701,18
393,18
1342,17
8803,17
1265,17
2488,17
1223,17
7661,17
3242,17
1005,17
3657,17
2625,17
375,17
11450,17
772,17
4917,17
7118,17
210,17
2758,17
4700,17
3519,17
6100,17
2789,17
3071,17
9522,17
1942,17
5361,17
1288,17
1266,17
7346,17
5959,17
1008,17
363,17
3453,17
2575,17
8562,17
2685,17
1242,17
2537,17
2292,17
1444,17
6050,17
340,17
1335,17
2560,17
920,17
919,17
6027,17
3967,17
1050,17
3573,17
5789,17
4441,17
1947,17
615,17
1263,17
3330,17
8519,17
1828,17
61,17
4772,17
6059,17
2279,17
2861,17
2783,17
3615,17
2588,17
3545,17
7379,17
1451,17
6089,17
4020,17
3292,17
4080,17
1849,17
3356,17
8821,17
3117,17
7866,17
5278,17
1020,17
2143,17
9101,17
6064,17
264,17
2728,17
7837,17
5696,17
771,17
4969,17
1333,17
5796,17
3297,17
5101,17
3486,17
1484,17
8704,17
1078,17
8810,17
2408,17
968,17
2123,17
1801,17
3303,17
4366,17
3820,17
2472,17
6987,17
10329,17
2960,17
1023,17
4675,17
272,17
2747,17
8684,17
5842,17
3735,17
9683,17
10478,17
3409,17
8017,17
1678,17
199,17
2065,17
5081,17
7243,17
2124,17
6180,17
4854,17
3483,17
4955,17
2243,17
2869,17
1012,17
7579,17
4711,17
3524,17
9363,17
5073,17
4744,17
1013,17
4430,17
8882,17
5544,17
7770,17
9532,17
407,17
5530,17
3910,17
1352,16
2443,16
3913,16
970,16
2802,16
3631,16
4097,16
10267,16
3149,16
7726,16
1198,16
5055,16
7533,16
3650,16
1974,16
8036,16
4876,16
2134,16
3123,16
3528,16
1955,16
3587,16
4209,16
8290,16
2062,16
3279,16
5080,16
8260,16
1046,16
3171,16
4070,16
22,16
3975,16
7551,16
8375,16
8037,16
6067,16
4641,16
660,16
674,16
631,16
10461,16
348,16
1089,16
2911,16
972,16
1218,16
3413,16
6900,16
2026,16
1538,16
9505,16
5467,16
7506,16
1499,16
2485,16
6293,16
3663,16
3702,16
544,16
2458,16
4543,16
10767,16
10394,16
5015,16
3930,16
10083,16
780,16
3243,16
1733,16
7068,16
8679,16
2545,16
5743,16
262,16
3527,16
6166,16
1635,16
7393,16
979,16
1966,16
3410,16
374,16
3773,16
5737,16
3902,16
7612,16
10909,16
5997,16
6882,16
5216,16
7645,16
4983,16
8529,16
3468,16
1386,16
6874,16
9703,16
7039,16
8299,16
456,16
173,16
1340,16
6003,16
3889,16
2030,16
1015,16
1254,16
8998,16
1041,16
5596,16
2272,16
3154,16
446,16
10446,16
3169,16
664,16
2277,16
4010,16
6052,16
6418,16
9280,16
3317,16
9997,16
356,16
3551,16
11198,16
1419,16
5027,16
1454,16
2529,16
6823,16
4069,16
226,16
7853,16
1911,16
4972,16
3275,16
3466,16
3307,16
1053,16
3896,16
4170,16
5116,16
5438,16
8609,16
2550,16
4990,16
749,16
1544,16
7403,16
1033,16
3223,16
